version,git_commit,data_source,device,solver_name,sample_size,feature_dim,pop_size,fit_time_s,converged,iter_num,compile_time_fraction,final_loss,final_grad_max
latest,660e47a,synthetic,cpu,LBFGS[scipy],100,10,20,0.3704050278000067,True,22.0,0.0,17.452847676205938,7.522588319226059e-07
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],1000,10,1,0.3725745217001531,True,16.0,0.907035860064016,0.9638889796949144,4.160345858381445e-07
latest,660e47a,synthetic,gpu,LBFGS[scipy],10000,1,10,0.37298367740586397,True,5.0,0.0,9.919048421391908,4.644280027145289e-07
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],1000,10,1,0.37480476681375874,True,15.0,0.9154797265171812,0.9644091949659088,7.686797492455558e-07
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],100,1,1,0.3755942908115685,True,11.0,0.9107529783633981,0.9814204227514418,1.010482280476899e-06
latest,660e47a,synthetic,cpu,Newton[nemos],10000,1,1,0.37666949508129616,True,3.0,0.9617353269416913,0.991367748394787,2.675236768223677e-12
latest,660e47a,synthetic,gpu,LBFGS[scipy],1000,1,10,0.3787309955980163,True,6.0,0.0,9.881816950316596,1.1844847168197901e-07
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],100,10,1,0.3796191057073883,True,25.0,0.9183466932518393,0.9686112635193279,0.0018934382750345
latest,660e47a,synthetic,gpu,LBFGS[scipy],1000,10,10,0.3804130744072608,True,9.0,0.0,9.36989132548848,7.710746060268108e-07
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],10000,10,1,0.3815690894902218,True,16.0,0.8845895990492402,0.9596526696221905,3.334516813499676e-07
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],1000,10,10,0.38291070560226215,True,28.0,0.8743950955697697,9.378434232537712,2.034684718592306e-07
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],10000,10,1,0.3830574357998557,True,16.0,0.8890745652358369,0.960289753316587,3.21371958224596e-07
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],1000,10,10,0.38368794389534744,True,28.0,0.8658647852209731,9.369891325484154,2.0970555049144168e-07
latest,660e47a,synthetic,gpu,LBFGS[scipy],100,1,20,0.3850852889008819,True,8.0,0.0,19.50871546032144,8.46702970625651e-07
latest,660e47a,synthetic,cpu,BFGS[optimistix],100,10,1,0.38654079860425555,True,12.0,0.911979337169433,0.968062862383895,8.991807214183324e-08
latest,660e47a,synthetic,gpu,LBFGS[scipy],10000,10,1,0.3891327457036823,True,6.0,0.0,0.9596526696220448,8.829076132214051e-08
latest,660e47a,synthetic,gpu,LBFGS[scipy],100,10,1,0.38926342919585294,True,10.0,0.0,0.9680628623843439,3.637317010683023e-07
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],100,10,1,0.3895473835989833,True,28.0,0.908957618615586,0.968062862384001,2.428772094952708e-07
latest,660e47a,synthetic,gpu,LBFGS[scipy],100000,100,1,0.39033973917830733,True,9.0,0.0,-0.1414054757587819,1.605179977974048e-07
latest,660e47a,synthetic,cpu,BFGS[optimistix],10000,10,1,0.3911383127968292,True,7.0,0.9024897851062091,0.9596526696220286,8.839840321687358e-09
latest,660e47a,synthetic,cpu,Newton[nemos],100,1,1,0.3913764255994465,True,3.0,0.9869945319571016,0.9814204227507404,1.4406037398152077e-12
latest,660e47a,synthetic,gpu,LBFGS[scipy],1000,1,20,0.39342943358933546,True,8.0,0.0,19.738105070346297,9.861399753236706e-08
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],100,1,10,0.3941996250010561,True,21.0,0.9154136961260184,9.736087933973067,0.0001642656547392
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],100,10,10,0.3950024146935902,True,80.0,0.8890341558206576,8.8192034342748,0.0016304245493370998
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],100,1,10,0.39520985330455005,True,21.0,0.9068933306833709,9.73494036064266,4.1793640120774686e-07
latest,660e47a,synthetic,cpu,newton-cholesky[sklearn],100000,100,1,0.39644932849332687,True,4.0,0.0,,
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],100,10,10,0.3973657042079139,True,80.0,0.8810542307112559,8.807686810947628,8.636319408297788e-07
latest,660e47a,synthetic,cpu,BFGS[optimistix],1000,10,1,0.3994148920988664,True,9.0,0.9131664497480086,0.9638889796946166,4.322879268196328e-08
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],1000,1,10,0.40112647101050236,True,13.0,0.8839771432036446,9.881816950316574,1.190556838063378e-07
latest,660e47a,synthetic,cpu,Newton[nemos],1000,1,1,0.4021713372960221,True,3.0,0.9858549499676273,0.9859889394744232,6.348259591615335e-13
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],1000,1,10,0.40249178750091225,True,13.0,0.8935769558711752,9.882525369768867,1.1917497539336297e-07
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],1000,100,1,0.40270385418552906,True,112.0,0.8671588561472315,-0.3315235602619963,1.4908035047399989e-06
latest,660e47a,synthetic,cpu,Newton[nemos],1000,10,1,0.40322915399447073,True,3.0,0.9739362687636414,0.9638889796946193,9.445696213649518e-08
latest,660e47a,synthetic,cpu,BFGS[optimistix],100,100,1,0.4034224823117255,True,251.0,0.8855531977576689,-1.0257125067146662,1.4501777657405582e-08
latest,660e47a,synthetic,gpu,LBFGS[scipy],10000,1,20,0.40421371400007045,True,7.0,0.0,19.781649798909186,1.7147030955625558e-07
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],100,1,20,0.40700170850614076,True,22.0,0.9024505411858212,19.508715460329277,2.2321265907055982e-06
latest,660e47a,synthetic,cpu,BFGS[optimistix],1000,10,10,0.40862471400178035,True,12.0,0.8993638685027332,9.36989132548398,4.44562200017061e-08
latest,660e47a,synthetic,cpu,BFGS[optimistix],1000,1,10,0.4086548328807112,True,8.0,0.914081671799235,9.88181695031656,2.3940244980869003e-08
latest,660e47a,synthetic,cpu,BFGS[optimistix],1000,100,1,0.4088815231923945,True,39.0,0.9018134941450355,-0.3315235602683803,1.9866138433362425e-07
latest,660e47a,synthetic,gpu,LBFGS[scipy],100000,1,10,0.4106952794827521,True,5.0,0.0,9.922374712917428,7.278011608837095e-07
latest,660e47a,synthetic,cpu,BFGS[optimistix],100,10,10,0.41159132539760324,True,21.0,0.9040420656346683,8.807686810942853,4.3790091317484105e-08
latest,660e47a,synthetic,cpu,BFGS[optimistix],100,1,10,0.4122176610981114,True,11.0,0.9187543025337688,9.734940360642408,4.6675392025447846e-08
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],1000,1,20,0.41386834060540423,True,20.0,0.8574296392400885,19.73810507034904,8.902794400566654e-07
latest,660e47a,synthetic,cpu,Newton[nemos],100000,1,1,0.4154375804879236,True,3.0,0.9298414556763921,0.993059943863124,3.451644352281403e-12
latest,660e47a,synthetic,cpu,Newton[nemos],10000,10,1,0.41596707330900246,True,3.0,0.9498626192268723,0.9596526696220803,3.04112112492266e-07
latest,660e47a,synthetic,cpu,Newton[nemos],100,10,1,0.4159767047909554,True,3.0,0.9780512773921775,0.9680628623838906,6.919014145806846e-08
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],100000,1,1,0.41662922870600594,True,9.0,0.7312563929301787,0.9931254620310028,1.23106098616748e-07
latest,660e47a,synthetic,gpu,LBFGS[scipy],10000,100,1,0.4167583158996422,True,11.0,0.0,-0.2173810365607471,7.587940025910607e-07
latest,660e47a,synthetic,cpu,Newton[nemos],100,100,1,0.4189158884983044,True,11.0,0.9689290867184596,-1.025712506712649,5.036191273440158e-08
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],1000,100,1,0.4199300220934674,True,104.0,0.8808563368004103,-0.3226744528237267,1.7117665571560192e-06
latest,660e47a,synthetic,cpu,BFGS[optimistix],100,1,20,0.420213948196033,True,12.0,0.9166643886994409,19.50871546031976,2.0221820915439533e-08
latest,660e47a,synthetic,gpu,LBFGS[scipy],10000,10,10,0.42062988380203026,True,9.0,0.0,9.400467400487525,4.3920810708980237e-07
